timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h,cadence@rpm,fractional_cadence@rpm
2022-03-10T02:17:33+00:00,-37.818566747009754,144.9678392149508,14.720049999999999,19.399999999999977,99,26,12.6288,23.0,0.0
2022-03-10T02:17:37+00:00,-37.81845996156335,144.9677911028266,14.733799999999999,19.399999999999977,101,26,11.8224,0.0,0.0
2022-03-10T02:17:41+00:00,-37.81832811422646,144.96775028295815,14.747399999999999,19.0,104,26,12.798,0.0,0.0
2022-03-10T02:17:43+00:00,-37.8182674292475,144.96772304177284,14.75444,19.0,104,26,12.528,0.0,0.0
2022-03-10T02:17:48+00:00,-37.818103143945336,144.96771398931742,14.76974,18.799999999999955,105,26,10.9152,0.0,0.0
2022-03-10T02:17:53+00:00,-37.817927626892924,144.96773016639054,14.784799999999999,18.200000000000045,102,26,10.548,0.0,0.0
2022-03-10T02:17:58+00:00,-37.817762000486255,144.96774491854012,14.79951,17.600000000000023,102,26,10.9152,0.0,0.0
2022-03-10T02:17:59+00:00,-37.8177423030138,144.96768599376082,14.80269,17.600000000000023,102,26,11.4552,0.0,0.0
2022-03-10T02:18:05+00:00,-37.81758891418576,144.9674103129655,14.82418,17.200000000000045,104,26,15.1164,47.0,0.0
2022-03-10T02:18:06+00:00,-37.817549519240856,144.9673906993121,14.82982,17.0,104,26,20.322,58.0,0.0
2022-03-10T02:18:07+00:00,-37.81749319285154,144.9673753604293,14.836290000000002,16.600000000000023,105,26,23.3136,64.0,0.0
2022-03-10T02:18:09+00:00,-37.81736805103719,144.96735013090074,14.850010000000001,15.799999999999955,105,26,25.2936,69.0,0.0
2022-03-10T02:18:10+00:00,-37.817298732697964,144.96733621694148,14.8574,15.600000000000023,104,26,26.5032,78.0,0.0
2022-03-10T02:18:11+00:00,-37.81723008491099,144.96731559745967,14.86521,15.399999999999977,104,26,28.0836,76.0,0.0
2022-03-10T02:18:13+00:00,-37.817092118784785,144.96725985780358,14.88157,15.399999999999977,103,26,29.4588,68.0,0.0
2022-03-10T02:18:14+00:00,-37.81702347099781,144.96723102405667,14.88975,15.399999999999977,103,26,29.4588,68.0,0.0
2022-03-10T02:18:16+00:00,-37.816890785470605,144.9671724345535,14.9054,15.799999999999955,103,26,27.5436,0.0,0.0
2022-03-10T02:18:17+00:00,-37.81683496199548,144.9671415053308,14.912790000000001,15.799999999999955,103,26,26.604,0.0,0.0
2022-03-10T02:18:19+00:00,-37.81674385070801,144.96710009872913,14.92391,16.399999999999977,103,26,18.576,0.0,0.0
2022-03-10T02:18:20+00:00,-37.816701186820865,144.96709280647337,14.92876,16.600000000000023,102,26,17.467200000000002,0.0,0.0
2022-03-10T02:18:22+00:00,-37.81662382185459,144.96710252948105,14.93699,16.799999999999955,105,26,13.4712,0.0,0.0
2022-03-10T02:18:24+00:00,-37.81656330451369,144.96712951920927,14.94354,16.799999999999955,109,26,11.1528,0.0,0.0
2022-03-10T02:18:26+00:00,-37.8165144380182,144.96715080924332,14.94828,16.799999999999955,111,26,7.8948,0.0,0.0
