timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm,enhanced_speed@km/h
2022-03-02T09:16:51+00:00,-37.83148887567222,144.93080042302608,0.8458600000000001,9.600000000000023,84,52,30,0.0,5.1408
2022-03-02T09:16:57+00:00,-37.83144327811897,144.9308837391436,0.8545499999999999,9.600000000000023,84,51,30,0.5,5.0724
2022-03-02T09:16:58+00:00,-37.831436321139336,144.93089463561773,0.8557,9.600000000000023,84,51,30,0.0,5.0724
2022-03-02T09:17:04+00:00,-37.83141762949526,144.93098105303943,0.8635499999999999,9.600000000000023,83,52,30,0.5,5.0724
2022-03-02T09:17:07+00:00,-37.831429950892925,144.93103075772524,0.8674400000000001,9.600000000000023,81,52,30,0.0,5.04
2022-03-02T09:17:13+00:00,-37.83140907995403,144.9311377108097,0.8772300000000001,9.600000000000023,78,51,30,0.5,5.04
2022-03-02T09:17:15+00:00,-37.83140270970762,144.93116562254727,0.87979,9.600000000000023,78,51,30,0.0,5.0724
2022-03-02T09:17:21+00:00,-37.83138820901513,144.93124675936997,0.88712,9.600000000000023,79,49,30,0.5,5.04
2022-03-02T09:17:23+00:00,-37.83138217404485,144.93127542547882,0.88973,9.600000000000023,80,51,30,0.5,5.04
2022-03-02T09:17:29+00:00,-37.83138292841613,144.93135530501604,0.89574,9.399999999999977,83,51,30,0.5,5.004
2022-03-02T09:17:32+00:00,-37.831363985314965,144.93140526115894,0.90062,9.399999999999977,83,51,30,0.5,4.9716000000000005
2022-03-02T09:17:33+00:00,-37.83136415295303,144.93142194114625,0.90208,9.399999999999977,84,51,30,0.5,4.9716000000000005
2022-03-02T09:17:38+00:00,-37.83135451376438,144.93149167858064,0.90816,9.199999999999989,81,52,30,0.0,4.9392000000000005
2022-03-02T09:17:43+00:00,-37.83133984543383,144.93157231248915,0.91527,9.199999999999989,85,51,30,0.0,4.903200000000001
2022-03-02T09:17:44+00:00,-37.831340013071895,144.93158413097262,0.91616,9.199999999999989,82,51,30,0.0,4.903200000000001
2022-03-02T09:17:47+00:00,-37.8313276078552,144.93165579624474,0.92211,9.399999999999977,83,51,30,0.5,4.903200000000001
2022-03-02T09:17:51+00:00,-37.831319058313966,144.9317270424217,0.92845,9.199999999999989,86,52,30,0.5,4.9392000000000005
2022-03-02T09:17:55+00:00,-37.83131930977106,144.9317941814661,0.93372,9.199999999999989,88,52,30,0.0,4.9716000000000005
2022-03-02T09:18:01+00:00,-37.83125217072666,144.93187548592687,0.94332,9.199999999999989,87,52,30,0.0,5.004
2022-03-02T09:18:04+00:00,-37.831235909834504,144.93190901353955,0.94675,9.199999999999989,86,51,30,0.5,5.004
2022-03-02T09:18:08+00:00,-37.83121948130429,144.9319707043469,0.9525399999999999,9.199999999999989,89,52,30,0.0,4.9716000000000005
2022-03-02T09:18:10+00:00,-37.831218810752034,144.9320039805025,0.95547,9.399999999999977,86,0,30,0.0,4.9392000000000005
2022-03-02T09:18:12+00:00,-37.83121126703918,144.9320465605706,0.9592999999999999,9.600000000000023,86,0,30,0.0,4.9392000000000005
2022-03-02T09:18:18+00:00,-37.83118385821581,144.9321924895048,0.97248,9.199999999999989,84,76,30,0.0,5.4432
2022-03-02T09:18:21+00:00,-37.83120011910796,144.9322310462594,0.97502,9.0,84,76,30,0.0,5.9472
2022-03-02T09:18:24+00:00,-37.83120992593467,144.93227949365973,0.97891,9.0,84,54,30,0.5,5.3748000000000005
2022-03-02T09:18:25+00:00,-37.831210093572736,144.93229751475155,0.98038,9.0,87,53,30,0.5,4.9716000000000005
2022-03-02T09:18:26+00:00,-37.83121914602816,144.93231050670147,0.98184,9.199999999999989,87,53,30,0.5,4.7016
2022-03-02T09:18:29+00:00,-37.831229539588094,144.9323544278741,0.9854400000000001,9.399999999999977,88,54,30,0.5,4.8384
2022-03-02T09:18:31+00:00,-37.83122803084552,144.93239985778928,0.98919,9.399999999999977,91,54,30,0.5,4.8708
2022-03-02T09:18:34+00:00,-37.831240855157375,144.93246481753886,0.99352,9.399999999999977,92,52,30,0.0,5.004
2022-03-02T09:18:35+00:00,-37.831238843500614,144.93248032405972,0.99483,9.399999999999977,92,52,30,0.0,5.0724
2022-03-02T09:18:37+00:00,-37.83123440109193,144.9325114209205,0.9976499999999999,9.399999999999977,93,53,30,0.0,5.0724
2022-03-02T09:18:39+00:00,-37.8312256000936,144.93254017084837,1.0001900000000001,9.399999999999977,94,53,30,0.0,5.04
2022-03-02T09:18:40+00:00,-37.8312155418098,144.93256129324436,1.00233,9.199999999999989,94,52,30,0.5,5.004
2022-03-02T09:18:42+00:00,-37.83120632171631,144.93259322829545,1.00519,9.399999999999977,96,53,30,0.0,5.004
2022-03-02T09:18:46+00:00,-37.831208165735006,144.93268148973584,1.0129,9.399999999999977,97,53,30,0.0,5.004
2022-03-02T09:18:48+00:00,-37.83118863590062,144.9327220581472,1.0172,9.600000000000023,98,53,30,0.0,5.04
2022-03-02T09:18:53+00:00,-37.83114194869995,144.93280017748475,1.02612,9.600000000000023,98,52,30,0.0,5.0724
2022-03-02T09:18:55+00:00,-37.83113306388259,144.93283110670745,1.02911,9.399999999999977,98,52,30,0.0,5.0724
2022-03-02T09:18:58+00:00,-37.83111655153334,144.9328576773405,1.03203,9.399999999999977,99,52,30,0.0,5.0724
2022-03-02T09:19:01+00:00,-37.831110432744026,144.93287553079426,1.03381,9.399999999999977,100,53,30,0.0,4.7376000000000005
2022-03-02T09:19:02+00:00,-37.83110146410763,144.93288843892515,1.03528,9.600000000000023,99,53,30,0.0,4.7376000000000005
2022-03-02T09:19:03+00:00,-37.83110020682216,144.93290193378925,1.03643,9.399999999999977,98,53,30,0.0,4.7376000000000005
2022-03-02T09:19:07+00:00,-37.831105068325996,144.93296580389142,1.04197,9.600000000000023,97,51,30,0.5,4.6368
2022-03-02T09:19:11+00:00,-37.831085454672575,144.9330553226173,1.05003,9.399999999999977,94,50,30,0.0,4.903200000000001
2022-03-02T09:19:13+00:00,-37.83108721487224,144.93309195153415,1.05304,9.399999999999977,92,51,30,0.5,5.0724
2022-03-02T09:19:19+00:00,-37.83107967115939,144.93318901397288,1.0610899999999999,9.399999999999977,94,51,30,0.5,5.3424000000000005
2022-03-02T09:19:20+00:00,-37.83107950352132,144.9331983178854,1.06189,9.399999999999977,95,52,30,0.0,5.3748000000000005
2022-03-02T09:19:21+00:00,-37.83107581548393,144.93320477195084,1.06256,9.399999999999977,96,52,30,0.0,5.3748000000000005
2022-03-02T09:19:25+00:00,-37.831089813262224,144.93324969895184,1.06638,9.399999999999977,96,51,30,0.0,5.2056
