timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h,speed@km/h
2019-09-25T09:08:54+00:00,-37.81423003412783,144.94721906259656,1.04992,29.600000000000023,29.600000000000023,129,24,9.1764,9.1764
2019-09-25T09:08:55+00:00,-37.81421226449311,144.9472548533231,1.05362,30.0,30.0,128,24,10.026000000000002,10.026000000000002
2019-09-25T09:08:56+00:00,-37.81419927254319,144.94729910977185,1.0577699999999999,30.200000000000045,30.200000000000045,128,24,10.850399999999999,10.850399999999999
2019-09-25T09:09:00+00:00,-37.81416842713952,144.94746565818787,1.07286,31.399999999999977,31.399999999999977,129,24,11.185200000000002,11.185200000000002
2019-09-25T09:09:05+00:00,-37.814087457954884,144.94767922908068,1.09372,32.60000000000002,32.60000000000002,128,24,13.0608,13.0608
2019-09-25T09:09:06+00:00,-37.81407346017659,144.94771845638752,1.09751,33.0,33.0,128,24,12.456,12.456
2019-09-25T09:09:09+00:00,-37.814069017767906,144.9479076359421,1.11425,33.799999999999955,33.799999999999955,128,24,13.1256,13.1256
2019-09-25T09:09:11+00:00,-37.81404814682901,144.94801341556013,1.12381,34.39999999999998,34.39999999999998,128,24,13.8384,13.8384
2019-09-25T09:09:15+00:00,-37.81399383209646,144.94820594787598,1.14177,34.799999999999955,34.799999999999955,126,24,14.4072,14.4072
2019-09-25T09:09:17+00:00,-37.81396307051182,144.94832530617714,1.1528399999999999,35.200000000000045,35.200000000000045,126,24,15.2136,15.2136
2019-09-25T09:09:19+00:00,-37.81393541023135,144.9484444130212,1.16377,35.39999999999998,35.39999999999998,129,24,17.7948,17.7948
2019-09-25T09:09:22+00:00,-37.813887717202306,144.94861305691302,1.17953,35.60000000000002,35.60000000000002,126,24,18.198,18.198
2019-09-25T09:09:23+00:00,-37.813871540129185,144.94867231696844,1.1850399999999999,35.60000000000002,35.60000000000002,123,24,18.666,18.666
2019-09-25T09:09:25+00:00,-37.813842790201306,144.94878916069865,1.1958199999999999,35.60000000000002,35.60000000000002,121,24,19.224,19.224
2019-09-25T09:09:28+00:00,-37.81379107385874,144.9489700421691,1.21277,35.799999999999955,35.799999999999955,121,24,18.752399999999998,18.752399999999998
